experiment,data,architecture,encoder,encoder_weights,loss,encoder_output_stride,seed,miou,mean_acc,pixel_acc,fw_iou,val_loss,params,epochs_ran,train_seconds,checkpoint,batch_size,device,epochs_max,imgsz,iou/barrier-structures,iou/construction-vegetation,iou/drivable,iou/living-thing,iou/non-drivable,iou/sky,iou/vehicles,lr,run_name,weight_decay
sequence_s0,level1_sequence,deeplabv3plus,resnet34,imagenet,ce,16,0,0.67344279793107,0.7698637383942523,0.8864644113473321,0.8091112242601138,0.3100925789725396,22438999,24,1796.2,checkpoints/seedvar_sequence_s0.pt,8,mps,30,224x320,0.4667151630481067,0.7713742277009169,0.9334020876144098,0.47225449759632593,0.387298661641518,0.940756286458746,0.7422986614574666,0.0003,seedvar_sequence_s0,0.0001
sequence_s1,level1_sequence,deeplabv3plus,resnet34,imagenet,ce,16,1,0.6771653342202166,0.7744617317350918,0.8867955836239692,0.8105292573451104,0.3102442886560194,22438999,25,1802.6,checkpoints/seedvar_sequence_s1.pt,8,mps,30,224x320,0.46212438424407387,0.7716508828800596,0.9355160734078433,0.48197963986645503,0.39686485498155055,0.9409839562027985,0.7510375479587362,0.0003,seedvar_sequence_s1,0.0001
sequence_s2,level1_sequence,deeplabv3plus,resnet34,imagenet,ce,16,2,0.6799126766324086,0.7758260956573595,0.8880148211124863,0.8116491723529141,0.3125010411585531,22438999,27,1799.3,checkpoints/seedvar_sequence_s2.pt,8,mps,30,224x320,0.4691311612189372,0.7720730967993458,0.934274665444606,0.4864421298927402,0.4024796987969299,0.942791422423388,0.7521965618509133,0.0003,seedvar_sequence_s2,0.0001
frame_s0,level1_frame,deeplabv3plus,resnet34,imagenet,ce,16,0,0.6886900767112756,0.7804582268379836,0.8952916522361184,0.8217857515578589,0.2826917358944493,22438999,30,1812.2,checkpoints/seedvar_frame_s0.pt,8,mps,30,224x320,0.5140036445509528,0.7977693269638005,0.9382976053836127,0.47720766665832764,0.3718486433724282,0.9445353607392402,0.7771682893105665,0.0003,seedvar_frame_s0,0.0001
frame_s1,level1_frame,deeplabv3plus,resnet34,imagenet,ce,16,1,0.690382762519735,0.7851455423059138,0.8944406406850797,0.8205869743277746,0.29422154493870273,22438999,30,1823.8,checkpoints/seedvar_frame_s1.pt,8,mps,30,224x320,0.5049527787795801,0.797998838345373,0.9401407045938444,0.480394566805259,0.4043902618528628,0.9441328624983927,0.7606693247628327,0.0003,seedvar_frame_s1,0.0001
frame_s2,level1_frame,deeplabv3plus,resnet34,imagenet,ce,16,2,0.6891726522806042,0.7826971164278026,0.8946484868969464,0.8205119293929602,0.28980431008723473,22438999,25,1819.8,checkpoints/seedvar_frame_s2.pt,8,mps,30,224x320,0.5078001221934565,0.8002862856840275,0.9377211641137106,0.4771582829956701,0.39631640864761647,0.9437034081356213,0.7612228941941267,0.0003,seedvar_frame_s2,0.0001
