precision,batch_size,latency_ms_mean,latency_ms_p50,latency_ms_p95,miou,miou_delta,size_mb,size_reduction,speedup,threads,throughput_img_s
fp32,1,185.58494439736629,185.65064552240074,186.52748160529882,0.6979100025266487,,90.002892,,,4,5.388368131085269
int8,1,42.38491672634458,42.4074794864282,42.458539456129074,0.6978285724463396,-8.143008030914167e-05,22.88527,3.9327869848159978,4.378561024328142,4,23.593298683501825
