experiment,data,architecture,encoder,encoder_weights,loss,seed,miou,mean_acc,pixel_acc,fw_iou,val_loss,params,epochs_ran,train_seconds,checkpoint,batch_size,device,epochs_max,imgsz,iou/barrier-structures,iou/construction-vegetation,iou/drivable,iou/living-thing,iou/non-drivable,iou/sky,iou/vehicles,lr,run_name,weight_decay
ce_s0,level1_official,deeplabv3plus,resnet34,imagenet,ce,0,0.6903467552786928,0.7869253920202794,0.8863330291609459,0.807732760692813,0.30786603345320773,22438999,24,1869.5,checkpoints/loss_ce_s0.pt,8,mps,30,224x320,0.4810643577976603,0.7583511787552778,0.9363764452554257,0.4887639097537583,0.4592711827116924,0.9425525055631129,0.766047707113922,0.0003,loss_ce_s0,0.0001
weighted_ce_s0,level1_official,deeplabv3plus,resnet34,imagenet,weighted_ce,0,0.6920562807201979,0.8267793877529116,0.8827290617461738,0.8068666528064383,0.3908078670501709,22438999,30,1871.6,checkpoints/loss_weighted_ce_s0.pt,8,mps,30,224x320,0.4938640875396102,0.7521896050448259,0.9353903273736693,0.49952524176994256,0.46543003550692724,0.9422163698536254,0.755778297952784,0.0003,loss_weighted_ce_s0,0.0001
dice_s0,level1_official,deeplabv3plus,resnet34,imagenet,dice,0,0.6961951384526126,0.80007877687391,0.88533863784806,0.8073005080621063,0.2907174527645111,22438999,29,1997.5,checkpoints/loss_dice_s0.pt,8,mps,30,224x320,0.48915893723255416,0.753163652312506,0.9353644363204605,0.5342704496076134,0.45743523671732267,0.9412951468847095,0.7626781100931218,0.0003,loss_dice_s0,0.0001
tversky_s0,level1_official,deeplabv3plus,resnet34,imagenet,tversky,0,0.6938451979505379,0.8070281118757384,0.884358952418533,0.8068749858860431,0.29143979056523395,22438999,30,2003.2,checkpoints/loss_tversky_s0.pt,8,mps,30,224x320,0.48371712089194974,0.7545466559235966,0.9364870534901875,0.5321832306120018,0.4495817105862121,0.9419014964233116,0.7584991177265057,0.0003,loss_tversky_s0,0.0001
boundary_s0,level1_official,deeplabv3plus,resnet34,imagenet,boundary,0,0.6912871301815027,0.7935886337677849,0.8862116201239139,0.8083328864378114,0.5058878763363912,22438999,24,1848.7,checkpoints/loss_boundary_s0.pt,8,mps,30,224x320,0.4866286183355051,0.7578800518129623,0.9365476069701746,0.5038016539727039,0.4479356521549325,0.9444812670805742,0.7617350609436664,0.0003,loss_boundary_s0,0.0001
