experiment,data,architecture,encoder,encoder_weights,loss,seed,miou,mean_acc,pixel_acc,fw_iou,val_loss,params,epochs_ran,train_seconds,checkpoint,batch_size,device,epochs_max,imgsz,iou/barrier-structures,iou/construction-vegetation,iou/drivable,iou/living-thing,iou/non-drivable,iou/sky,iou/vehicles,lr,run_name,weight_decay
official_s0,level1_official,deeplabv3plus,resnet34,imagenet,ce,0,0.691332567194461,0.7889076866399246,0.8866534806192531,0.808335520593926,0.310262273137386,22438999,27,1944.2,checkpoints/split_official_s0.pt,8,mps,30,224x320,0.4823225144651679,0.7583520460716842,0.9381521281162596,0.49604230638007507,0.4594447432551777,0.9432109757524985,0.7618032563203636,0.0003,split_official_s0,0.0001
sequence_s0,level1_sequence,deeplabv3plus,resnet34,imagenet,ce,0,0.6754890954010645,0.768990821782544,0.886578972509184,0.8096783757867404,0.31358531501985365,22438999,27,1834.9,checkpoints/split_sequence_s0.pt,8,mps,30,224x320,0.4669246472071297,0.7692078649072376,0.933914201990031,0.4911975840805756,0.37653268148520763,0.9424192075746936,0.7482274805625759,0.0003,split_sequence_s0,0.0001
frame_s0,level1_frame,deeplabv3plus,resnet34,imagenet,ce,0,0.6893766957606529,0.7816913186286814,0.8953733433238465,0.8215245552386187,0.28072713459691695,22438999,30,49506.5,checkpoints/split_frame_s0.pt,8,mps,30,224x320,0.5114745477073613,0.7992976500304637,0.9380139908432022,0.4754000014115621,0.3850965730440986,0.9439033468492853,0.7724507604385963,0.0003,split_frame_s0,0.0001
