experiment,data,architecture,encoder,encoder_weights,loss,encoder_output_stride,seed,miou,mean_acc,pixel_acc,fw_iou,val_loss,params,epochs_ran,train_seconds,checkpoint,batch_size,device,epochs_max,imgsz,iou/barrier-structures,iou/construction-vegetation,iou/drivable,iou/living-thing,iou/non-drivable,iou/sky,iou/vehicles,lr,run_name,weight_decay
stride16_s0,level1_official,deeplabv3plus,resnet34,imagenet,ce,16,0,0.6902228883075164,0.7895743291733448,0.8850692807844925,0.8059125424855164,0.3106634565270864,22438999,24,1850.9,checkpoints/stride16_s0.pt,8,mps,30,224x320,0.47753869245795977,0.7558278519608668,0.9346421885628515,0.5032846963013233,0.45746656474356573,0.9429985610490222,0.7598016630770256,0.0003,stride16_s0,0.0001
stride8_s0,level1_official,deeplabv3plus,resnet34,imagenet,ce,8,0,0.6979100114355135,0.7947560308553572,0.889685560170011,0.813224787149407,0.3046085215531863,22438999,24,3562.4,checkpoints/stride8_s0.pt,8,mps,30,224x320,0.5031920221260212,0.7662302901070374,0.9361229951209499,0.5216523055023874,0.44005934457987633,0.9440310931446085,0.774082029467714,0.0003,stride8_s0,0.0001
