corruption,severity,bn_adapted,accuracy,mean_confidence,overconfidence,ece_deployed_t,ece_refit_t,refit_temperature,calibration_gap,coverage_at_acc_0.95,risk_coverage_auc
clean,0,False,0.908872,0.9104154706001282,0.0015434706001281606,0.002584879253894057,0.0026750671170800914,1.220674991607666,-9.018786318603462e-05,0.909243,0.9879133658749929
fog,1,False,0.9082,0.9096856117248535,0.0014856117248535083,0.0021159817813485174,0.002124000867135826,1.222422480583191,-8.019085787308415e-06,0.90808,0.9876982266835169
fog,1,True,0.9077735,0.910472571849823,0.002699071849822987,0.0030499622653424674,0.0026320322456955987,1.2321548461914062,0.0004179300196468687,0.906128,0.9875196300935738
fog,3,False,0.9042235,0.9058820009231567,0.0016585009231567804,0.0029007900171503223,0.0029010474481880417,1.2385462522506714,-2.574310377194411e-07,0.8973465,0.9863333515613084
fog,3,True,0.907789,0.910502016544342,0.002713016544342084,0.003161952298380467,0.002537387507379039,1.2329480648040771,0.0006245647910014282,0.906312,0.9875238349467104
rain,1,False,0.859387,0.8480576872825623,-0.011329312717437756,0.011329306466974307,0.004878906725175669,1.1254420280456543,0.006450399741798638,0.7674065,0.9714934393062274
rain,1,True,0.8798555,0.8938562870025635,0.014000787002563464,0.01403404056067016,0.00580947185584905,1.3404046297073364,0.008224568704821111,0.83092,0.9795346911900122
rain,3,False,0.754296,0.780555009841919,0.02625900984191898,0.02626930886512992,0.009390818956024975,1.3713083267211914,0.016878489909104948,0.3774625,0.9065008815603925
rain,3,True,0.839283,0.8824523091316223,0.04316930913162231,0.043170835302792504,0.012670706639349476,1.5646837949752808,0.030500128663443028,0.734286,0.9665281500401378
low_light,1,False,0.9026995,0.9061625003814697,0.0034630003814697385,0.0036630986573621574,0.0027809531186371995,1.2365065813064575,0.0008821455387249579,0.890857,0.9862574782345173
low_light,1,True,0.9061645,0.9109066128730774,0.004742112873077353,0.004742694217264697,0.0024071945405676923,1.254335880279541,0.002335499676697005,0.9007275,0.9870014075404184
low_light,3,False,0.834052,0.8420073986053467,0.007955398605346664,0.009893196356020907,0.008260944601826371,1.283767580986023,0.0016322517541945362,0.6399115,0.9563091969721002
low_light,3,True,0.8893125,0.9029043316841125,0.013591831684112599,0.013591784397706416,0.0035442288831770818,1.3510322570800781,0.010047555514529334,0.8556905,0.9813422318407037
motion_blur,1,False,0.9035445,0.9061651229858398,0.002620622985839871,0.003171706576824199,0.003336123479664293,1.2176315784454346,-0.00016441690284009405,0.897158,0.9872126361454472
motion_blur,1,True,0.905085,0.9094623923301697,0.004377392330169649,0.004377355129256823,0.0029470869189053635,1.2410943508148193,0.001430268210351459,0.899606,0.9870997930899241
motion_blur,3,False,0.8218405,0.8864692449569702,0.06462874495697024,0.06462874526798724,0.027316590651817664,1.6951241493225098,0.03731215461616958,0.695485,0.9610402182793645
motion_blur,3,True,0.8822795,0.8996613621711731,0.0173818621711731,0.017570560018017854,0.0034297346703335385,1.3805949687957764,0.014140825347684315,0.83532,0.9789044396244324
gaussian_noise,1,False,0.873504,0.8755366206169128,0.0020326206169128946,0.0074378797471001575,0.0078494640289172,1.2353885173797607,-0.0004115842818170432,0.8133975,0.9755932053305175
gaussian_noise,1,True,0.9010845,0.9077616333961487,0.006677133396148727,0.00667714786642047,0.0018767642655595992,1.2794265747070312,0.004800383600860871,0.8875505,0.9853849797291282
gaussian_noise,3,False,0.6316975,0.764697253704071,0.13299975370407102,0.1330001935654953,0.028697887801185235,1.7708011865615845,0.10430230576431007,0.083912,0.7964111691700305
gaussian_noise,3,True,0.866313,0.8886323571205139,0.022319357120513916,0.02231941278710963,0.004383146406382303,1.4193344116210938,0.017936266380727327,0.7893935,0.9731298142677698
