timestamp,git_sha,git_dirty,miou,pixel_acc,mean_acc,fw_iou,iou/drivable,iou/non-drivable,iou/living-thing,iou/vehicles,iou/barrier-structures,iou/construction-vegetation,iou/sky,val_loss,run_name,data,architecture,encoder,encoder_weights,loss,seed,epochs_ran,epochs_max,batch_size,lr,weight_decay,imgsz,params,device,train_seconds,checkpoint,encoder_output_stride,teacher,teacher_params
2026-08-18T22:36:40+00:00,ffef0bf,True,0.691332567194461,0.8866534806192531,0.7889076866399246,0.808335520593926,0.9381521281162596,0.4594447432551777,0.49604230638007507,0.7618032563203636,0.4823225144651679,0.7583520460716842,0.9432109757524985,0.310262273137386,split_official_s0,level1_official,deeplabv3plus,resnet34,imagenet,ce,0,27,30,8,0.0003,0.0001,224x320,22438999,mps,1944.2,checkpoints/split_official_s0.pt,,,
2026-08-18T23:07:15+00:00,87ec0f4,False,0.6754890954010645,0.886578972509184,0.768990821782544,0.8096783757867404,0.933914201990031,0.37653268148520763,0.4911975840805756,0.7482274805625759,0.4669246472071297,0.7692078649072376,0.9424192075746936,0.31358531501985365,split_sequence_s0,level1_sequence,deeplabv3plus,resnet34,imagenet,ce,0,27,30,8,0.0003,0.0001,224x320,22438999,mps,1834.9,checkpoints/split_sequence_s0.pt,,,
2026-08-19T12:52:22+00:00,87ec0f4,True,0.6893766957606529,0.8953733433238465,0.7816913186286814,0.8215245552386187,0.9380139908432022,0.3850965730440986,0.4754000014115621,0.7724507604385963,0.5114745477073613,0.7992976500304637,0.9439033468492853,0.28072713459691695,split_frame_s0,level1_frame,deeplabv3plus,resnet34,imagenet,ce,0,30,30,8,0.0003,0.0001,224x320,22438999,mps,49506.5,checkpoints/split_frame_s0.pt,,,
2026-08-19T14:10:26+00:00,813d291,True,0.6903467552786928,0.8863330291609459,0.7869253920202794,0.807732760692813,0.9363764452554257,0.4592711827116924,0.4887639097537583,0.766047707113922,0.4810643577976603,0.7583511787552778,0.9425525055631129,0.30786603345320773,loss_ce_s0,level1_official,deeplabv3plus,resnet34,imagenet,ce,0,24,30,8,0.0003,0.0001,224x320,22438999,mps,1869.5,checkpoints/loss_ce_s0.pt,,,
2026-08-19T14:41:39+00:00,813d291,True,0.6920562807201979,0.8827290617461738,0.8267793877529116,0.8068666528064383,0.9353903273736693,0.46543003550692724,0.49952524176994256,0.755778297952784,0.4938640875396102,0.7521896050448259,0.9422163698536254,0.3908078670501709,loss_weighted_ce_s0,level1_official,deeplabv3plus,resnet34,imagenet,weighted_ce,0,30,30,8,0.0003,0.0001,224x320,22438999,mps,1871.6,checkpoints/loss_weighted_ce_s0.pt,,,
2026-08-19T15:14:57+00:00,813d291,True,0.6961951384526126,0.88533863784806,0.80007877687391,0.8073005080621063,0.9353644363204605,0.45743523671732267,0.5342704496076134,0.7626781100931218,0.48915893723255416,0.753163652312506,0.9412951468847095,0.2907174527645111,loss_dice_s0,level1_official,deeplabv3plus,resnet34,imagenet,dice,0,29,30,8,0.0003,0.0001,224x320,22438999,mps,1997.5,checkpoints/loss_dice_s0.pt,,,
2026-08-19T15:48:21+00:00,813d291,True,0.6938451979505379,0.884358952418533,0.8070281118757384,0.8068749858860431,0.9364870534901875,0.4495817105862121,0.5321832306120018,0.7584991177265057,0.48371712089194974,0.7545466559235966,0.9419014964233116,0.29143979056523395,loss_tversky_s0,level1_official,deeplabv3plus,resnet34,imagenet,tversky,0,30,30,8,0.0003,0.0001,224x320,22438999,mps,2003.2,checkpoints/loss_tversky_s0.pt,,,
2026-08-19T16:19:10+00:00,813d291,True,0.6912871301815027,0.8862116201239139,0.7935886337677849,0.8083328864378114,0.9365476069701746,0.4479356521549325,0.5038016539727039,0.7617350609436664,0.4866286183355051,0.7578800518129623,0.9444812670805742,0.5058878763363912,loss_boundary_s0,level1_official,deeplabv3plus,resnet34,imagenet,boundary,0,24,30,8,0.0003,0.0001,224x320,22438999,mps,1848.7,checkpoints/loss_boundary_s0.pt,,,
2026-08-19T16:49:51+00:00,813d291,True,0.689175971839704,0.8858147664715983,0.7888271079233516,0.8069864658730304,0.935694989619212,0.44822947995224205,0.4980688445902261,0.7645770886914707,0.4747192142023268,0.7599447366329496,0.9429974491895006,0.3144585920067934,arch_deeplabv3plus_resnet34_s0,level1_official,deeplabv3plus,resnet34,imagenet,ce,0,27,30,8,0.0003,0.0001,224x320,22438999,mps,1837.0,checkpoints/arch_deeplabv3plus_resnet34_s0.pt,16,,
2026-08-19T17:20:23+00:00,813d291,True,0.6975976262441809,0.8900034808483913,0.7955754653734657,0.8145031175166897,0.9400986421308577,0.4341929019895194,0.5307431627164665,0.7654224921977627,0.4920889601996702,0.7659360563783859,0.9547011680966033,0.3007842107461049,arch_unet_resnet34_s0,level1_official,unet,resnet34,imagenet,ce,0,29,30,8,0.0003,0.0001,224x320,24437239,mps,1831.4,checkpoints/arch_unet_resnet34_s0.pt,16,,
2026-08-19T17:48:55+00:00,813d291,True,0.6931284935022408,0.8867930839119756,0.7918960999451284,0.8091146902715068,0.9376957912180379,0.45122162233197904,0.5141947602842043,0.7580525770947225,0.48604633507637907,0.7603764303786057,0.9443119381317575,0.31738075384726894,arch_fpn_resnet34_s0,level1_official,fpn,resnet34,imagenet,ce,0,29,30,8,0.0003,0.0001,224x320,23156167,mps,1711.0,checkpoints/arch_fpn_resnet34_s0.pt,16,,
2026-08-19T18:05:02+00:00,813d291,True,0.675185657300619,0.8808222900699241,0.7817013785731578,0.8004203838748676,0.9334094584080306,0.43723670937908854,0.45191211282632615,0.7392878210418575,0.47153061191314527,0.7523303685654693,0.9405925189704147,0.3168481972355109,arch_deeplabv3plus_mobilenet_v2_s0,level1_official,deeplabv3plus,mobilenet_v2,imagenet,ce,0,21,30,8,0.0003,0.0001,224x320,4380055,mps,960.8,checkpoints/arch_deeplabv3plus_mobilenet_v2_s0.pt,16,,
2026-08-19T18:21:26+00:00,813d291,True,0.6750700900812935,0.8795062845079538,0.7759497985398368,0.7983261105396862,0.9318835701729066,0.4340199788500363,0.46989962632169846,0.7372545462541504,0.46110197342287107,0.7499563565687728,0.9413745789786192,0.3310253035563689,student_alone_resnet18_s0,level1_official,deeplabv3plus,resnet18,imagenet,ce,0,27,30,16,0.0003,0.0001,224x320,12330839,mps,962.2,checkpoints/student_alone_resnet18_s0.pt,16,,
2026-08-19T18:47:22+00:00,813d291,True,0.6779175056385761,0.8832418524789228,0.7761906877857708,0.803837418855404,0.9355371179294681,0.42340315118859656,0.4674585828926075,0.7398665843610541,0.47719955062760244,0.7601146481924367,0.941842904278267,,student_distilled_resnet18_s0,level1_official,deeplabv3plus,resnet18,,"distill(a=0.5,T=4.0)",0,29,,,,,,12330839,mps,1555.8,checkpoints/student_distilled_resnet18_s0.pt,,checkpoints/arch_unet_resnet34_s0.pt,0
2026-08-19T19:17:47+00:00,813d291,True,0.67344279793107,0.8864644113473321,0.7698637383942523,0.8091112242601138,0.9334020876144098,0.387298661641518,0.47225449759632593,0.7422986614574666,0.4667151630481067,0.7713742277009169,0.940756286458746,0.3100925789725396,seedvar_sequence_s0,level1_sequence,deeplabv3plus,resnet34,imagenet,ce,0,24,30,8,0.0003,0.0001,224x320,22438999,mps,1796.2,checkpoints/seedvar_sequence_s0.pt,16,,
2026-08-19T19:47:51+00:00,813d291,True,0.6771653342202166,0.8867955836239692,0.7744617317350918,0.8105292573451104,0.9355160734078433,0.39686485498155055,0.48197963986645503,0.7510375479587362,0.46212438424407387,0.7716508828800596,0.9409839562027985,0.3102442886560194,seedvar_sequence_s1,level1_sequence,deeplabv3plus,resnet34,imagenet,ce,1,25,30,8,0.0003,0.0001,224x320,22438999,mps,1802.6,checkpoints/seedvar_sequence_s1.pt,16,,
2026-08-19T20:17:50+00:00,813d291,True,0.6799126766324086,0.8880148211124863,0.7758260956573595,0.8116491723529141,0.934274665444606,0.4024796987969299,0.4864421298927402,0.7521965618509133,0.4691311612189372,0.7720730967993458,0.942791422423388,0.3125010411585531,seedvar_sequence_s2,level1_sequence,deeplabv3plus,resnet34,imagenet,ce,2,27,30,8,0.0003,0.0001,224x320,22438999,mps,1799.3,checkpoints/seedvar_sequence_s2.pt,16,,
2026-08-19T20:48:03+00:00,813d291,True,0.6886900767112756,0.8952916522361184,0.7804582268379836,0.8217857515578589,0.9382976053836127,0.3718486433724282,0.47720766665832764,0.7771682893105665,0.5140036445509528,0.7977693269638005,0.9445353607392402,0.2826917358944493,seedvar_frame_s0,level1_frame,deeplabv3plus,resnet34,imagenet,ce,0,30,30,8,0.0003,0.0001,224x320,22438999,mps,1812.2,checkpoints/seedvar_frame_s0.pt,16,,
2026-08-19T21:18:27+00:00,813d291,True,0.690382762519735,0.8944406406850797,0.7851455423059138,0.8205869743277746,0.9401407045938444,0.4043902618528628,0.480394566805259,0.7606693247628327,0.5049527787795801,0.797998838345373,0.9441328624983927,0.29422154493870273,seedvar_frame_s1,level1_frame,deeplabv3plus,resnet34,imagenet,ce,1,30,30,8,0.0003,0.0001,224x320,22438999,mps,1823.8,checkpoints/seedvar_frame_s1.pt,16,,
2026-08-19T21:48:48+00:00,813d291,True,0.6891726522806042,0.8946484868969464,0.7826971164278026,0.8205119293929602,0.9377211641137106,0.39631640864761647,0.4771582829956701,0.7612228941941267,0.5078001221934565,0.8002862856840275,0.9437034081356213,0.28980431008723473,seedvar_frame_s2,level1_frame,deeplabv3plus,resnet34,imagenet,ce,2,25,30,8,0.0003,0.0001,224x320,22438999,mps,1819.8,checkpoints/seedvar_frame_s2.pt,16,,
2026-08-19T22:19:42+00:00,813d291,True,0.6902228883075164,0.8850692807844925,0.7895743291733448,0.8059125424855164,0.9346421885628515,0.45746656474356573,0.5032846963013233,0.7598016630770256,0.47753869245795977,0.7558278519608668,0.9429985610490222,0.3106634565270864,stride16_s0,level1_official,deeplabv3plus,resnet34,imagenet,ce,0,24,30,8,0.0003,0.0001,224x320,22438999,mps,1850.9,checkpoints/stride16_s0.pt,16,,
2026-08-19T23:19:05+00:00,813d291,True,0.6979100114355135,0.889685560170011,0.7947560308553572,0.813224787149407,0.9361229951209499,0.44005934457987633,0.5216523055023874,0.774082029467714,0.5031920221260212,0.7662302901070374,0.9440310931446085,0.3046085215531863,stride8_s0,level1_official,deeplabv3plus,resnet34,imagenet,ce,0,24,30,8,0.0003,0.0001,224x320,22438999,mps,3562.4,checkpoints/stride8_s0.pt,8,,
2026-08-19T23:44:07+00:00,813d291,True,0.5782160294415881,0.8557112375541663,0.6681576765808942,0.7677895802711093,0.9127924404176896,0.18996455905983528,0.24702357993262877,0.639503781729936,0.37751090094622325,0.7494588614154932,0.9312580825893106,0.377427831772835,heldout_sequence3_s0,level1_sequence3,deeplabv3plus,resnet34,None,ce,0,26,30,8,0.0003,0.0001,224x320,22438999,mps,1498.7,checkpoints/heldout_sequence3_s0.pt,16,,
