perturbation,flip_rate,flip_rate_confident,mean_confidence_delta,n_images
shift_1px,0.018892151221823597,0.00012061536510185776,0.015216728450967838,204
shift_2px,0.030727557194794006,0.0010011604970746706,0.023361765765858925,204
brightness_5pct,0.0038457277442226893,6.357254415753045e-06,0.0033882150855075164,204
brightness_-5pct,0.003519523043592437,0.0,0.003085363536157791,204
noise_sigma0.01,0.013502686230742297,0.000386058722702094,0.010849841330520004,204
jpeg_q90,0.007246804971988796,9.08179202250435e-07,0.005987050009471383,204
