corruption,severity,miou,miou_bn_adapted,retention,recovered,weather_like
clean,0,0.6861667887238875,0.6861667887238875,1.0,0.0,False
fog,1,0.6853981565501925,0.6820801539721435,0.9988798172888483,-0.0033180025780490396,True
fog,3,0.6744461635817137,0.6817651251817696,0.9829186936255375,0.007318961600055851,True
rain,1,0.6006661718811255,0.6368170144977484,0.8753938280781943,0.036150842616622936,True
rain,3,0.4651893469521219,0.5615448219168332,0.6779537491420521,0.09635547496471131,True
low_light,1,0.6801895610700645,0.6755663854532773,0.9912889580900013,-0.004623175616787156,True
low_light,3,0.5608553180591979,0.6444136363694953,0.8173746198096528,0.08355831831029747,True
motion_blur,1,0.6766414677080123,0.6776909291553235,0.986118067542164,0.0010494614473112174,True
motion_blur,3,0.5895565275132632,0.632161036767848,0.8592029477405964,0.04260450925458481,True
gaussian_noise,1,0.6388315564594882,0.6614635024025377,0.9310149761803075,0.022631945943049514,False
gaussian_noise,3,0.3409722535608209,0.6196075828905325,0.49692328332438085,0.27863532932971163,False
